No	Penulis	Jurnal	Tahun	Keterangan	Hasil
1	"Ayu, Mh.S."	 Hubungan Klasifikasi Hipertensi dan Gangguan Fungsi Kognitif pada Lanjut Usia	2021	Jenis penelitian ini adalah observasional analitik dengan desain cross sectional. Sampel terdiri dari 65 pasien hipertensi yang terdiri dari 42 laki-laki dan 23 perempuan dari 3 Puskesmas di Kota Medan. Sampel diambil dengan teknik purposive sampling yaitu pasien hipertensi dari data sekunder lebih dari 5 tahun dan mendapat pengobatan rutin obat antihipertensi dari rekam medis puskesmas. Pengukuran fungsi kognitif wawancara menggunakan pemeriksaan skrining Mini Mental State Examination. Analisis data univariat dan bivariat menggunakan uji chi-square	"Terdapat 37 pasien dengan hipertensi derajat I, 23 orang dengan disfungsi kognitif ringan dan 14 orang dengan disfungsi kognitif berat. Sedangkan penderita hipertensi derajat II yang mengalami gangguan fungsi kognitif ringan sebanyak 28 orang dan gangguan fungsi kognitif berat sebanyak 17 orang. Hasil analisis bivariat menunjukkan bahwa ada hubungan antara klasifikasi hipertensi dengan gangguan fungsi kognitif pada lansia dimana p-value 0,04 (p<0,05)."
2	"Bansal, S.K., Saxena, V., Kandpal, S.D., Gray, W.K., Walker, R.W. dan Goel, D.H"	 The prevalence of hypertension and hypertension risk factors in a rural Indian community: A prospective door-to-door study	2012	"Sebuah survei dari pintu ke pintu dilakukan di antara semua penduduk sebuah desa di provinsi Uttarakhand. Semua penduduk diwawancarai dan data yang berkaitan dengan demografi individu, kebiasaan diet, konsumsi alkohol, penggunaan tembakau, stres psikososial, riwayat medis masa lalu dan riwayat obat. Tekanan darah (BP) dan data antropometri dicatat dan sampel darah diambil"	"Kami mengidentifikasi 1348 orang yang tinggal di desa. Penilaian dilakukan pada semua yang berusia 15 tahun ke atas (n=968, 71.8%). Hipertensi, didefinisikan sebagai BP 140/90 mmHg atau kasus hipertensi diketahui pada pengobatan, hadir di 30,9% (95% CI 25,6-36,0) laki-laki dan 27,8% (95% CI 23,4-32,2) perempuan. Standarisasi populasi dunia Organisasi Kesehatan Dunia (WHO) memberikan prevalensi keseluruhan 32,3% (interval kepercayaan 95%, CI 28,9 hingga 35,8). Peningkatan usia dan indeks massa tubuh (BMI) yang lebih tinggi adalah prediktor independen hipertensi pada kedua jenis kelamin, dengan stres psikososial prediktor independen tambahan pada laki-laki."
3	"Bengio, Y."	 Practical recommendations for gradient-based training of deep architectures	2012	"Penilitian ini dimaksudkan sebagai panduan praktis dengan rekomendasi untuk beberapa parameter hiper yang paling umum digunakan, khususnya dalam konteks pembelajaran algoritma berdasarkan gradien propagasi mundur dan optimisasi berbasis gradien. Ini juga membahas bagaimana menghadapi fakta bahwa hasil yang lebih menarik dapat diperoleh ketika memungkinkan seseorang untuk menyesuaikan banyak parameter hiper"	"Secara keseluruhan, ini menjelaskan elemen praktik yang digunakan untuk melatih dan men-debug jaringan saraf multi-lapisan skala besar dan sering kali dengan sukses dan efisien"
4	"Cheng, R. dan Jin, Y."	 A competitive swarm optimizer for large scale optimization	2015	"Dalam pengoptimal swarm yang diusulkan, baik posisi terbaik pribadi dari setiap partikel (pbest) maupun posisi terbaik global (gbest) tidak terlibat dalam pembaruan partikel. Sebaliknya, mekanisme kompetisi berpasangan diperkenalkan, di mana partikel yang kalah dalam kompetisi akan memperbarui posisinya dengan belajar dari pemenang. Untuk memahami perilaku pencarian kompetitif swarm optimizer (CSO), bukti teoritis konvergensi disediakan, bersama dengan analisis empiris kemampuan eksplorasi dan eksploitasi yang menunjukkan bahwa CSO mencapai keseimbangan yang baik antara eksplorasi dan eksploitasi"	Hasil empiris kami menunjukkan bahwa CSO menunjukkan kinerja keseluruhan yang lebih baik daripada lima algoritme metaheuristik canggih pada serangkaian masalah optimasi skala besar yang banyak digunakan dan mampu secara efektif memecahkan masalah dimensi hingga 5000
5	"Cho, J.H., Lee, D.J. dan Chun, M.G."	 Parameter optimization of extreme learning machine using bacterial foraging algorithm	2007	"Bobot input awal dan bias tersembunyi dari ELM biasanya dipilih secara acak, dan bobot output ditentukan secara analitis dengan menggunakan invers umum Moore-Penrose (MP). Tetapi memiliki kesulitan untuk memilih bobot input awal dan bias tersembunyi. dalam makalah ini, metode lanjutan menggunakan algoritma pencarian bakteri untuk menyesuaikan bobot input dan bias tersembunyi diusulkan"	Hasil eksperimen menunjukkan bahwa metode ini dapat mencapai kinerja yang lebih baik untuk masalah yang memiliki dimensi lebih tinggi daripada yang lain
6	"CORTES, C. dan VAPNIK, V."	 Support-Vector Networks	1995	Dalam ruang fitur ini permukaan keputusan linier dibangun. Sifat khusus dari permukaan keputusan memastikan kemampuan generalisasi yang tinggi dari mesin pembelajaran. Ide di balik jaringan dukungan-vektor sebelumnya diterapkan untuk kasus terbatas di mana data pelatihan dapat dipisahkan tanpa kesalahan	Hasil ini menjadi data pelatihan yang tidak dapat dipisahkan. Kemampuan generalisasi yang tinggi dari jaringan support-vektor yang memanfaatkan transformasi input polinomial ditunjukkan.
7	"Deng, L. dan Yu, D."	 Deep learning: Methods and applications	2014	"Area aplikasi yang telah diubah oleh keberhasilan penggunaan teknologi pembelajaran mendalam, seperti pengenalan suara dan visi komputer"	"area aplikasi yang berpotensi terkena dampak signifikan oleh pembelajaran mendalam dan yang telah mengalami pertumbuhan penelitian, termasuk bahasa alami dan pemrosesan teks, pengambilan informasi, dan pemrosesan informasi multimodal yang diberdayakan oleh pembelajaran mendalam multitugas"
8	"Deng, W.Y, Bai, Z., Huang, G.B. dan Zheng, Q.H."	 A Fast SVD-Hidden-nodes based Extreme Learning Machine for Large-Scale Data Analytics	2016	"Dalam makalah ini, kami mengusulkan pendekatan Extreme Learning Machine (ELM) untuk analitik data skala besar. Berbeda dengan pendekatan yang ada, kami menyematkan node tersembunyi yang dirancang menggunakan Singular Value Decomposition (SVD) ke dalam ELM klasik. Node SVD di lapisan tersembunyi ini ditampilkan untuk menangkap karakteristik yang mendasari data dimensi besar dengan baik, menunjukkan kinerja generalisasi yang sangat baik. Kelemahan menggunakan SVD pada seluruh kumpulan data, bagaimanapun, adalah kompleksitas komputasi yang tinggi yang terlibat. Untuk mengatasi hal ini, skema pendekatan cepat bagi dan taklukkan diperkenalkan untuk menjaga kemampuan komputasional pada data volume tinggi."	"Algoritme yang dihasilkan yang diusulkan diberi label di sini sebagai  Fast Singular Value Decomposition-Hidden-nodes based Extreme Learning Machine atau FSVD-H-ELM. pada FSVD-H-ELM alih-alih mengidentifikasi node tersembunyi SVD secara langsung dari seluruh kumpulan data, node tersembunyi SVD diturunkan dari beberapa subset data acak yang diambil sampelnya dari kumpulan data asli. Eksperimen dan perbandingan yang komprehensif dilakukan untuk menilai FSVD-H-ELM terhadap algoritme canggih lainnya"
9	"Ding, S., Xu, X. dan Nie, R."	 Extreme learning machine and its applications	2013	"Makalah ini pertama-tama memperkenalkan tinjauan singkat tentang ELM, yang menjelaskan prinsip dan algoritma ELM. Kemudian, kami menekankan pada metode yang ditingkatkan atau varian khas ELM, terutama pada incremental ELM, pruning ELM, error-minimized ELM, two-stage ELM, online sequential ELM, evolutionary ELM, voting-based ELM, ordinal ELM, fully complex ELM, dan symmetric ELM"	"Makalah ini merangkum aplikasi ELM pada klasifikasi, regresi, aproksimasi fungsi, pengenalan pola, peramalan dan diagnosis,"
10	"Dwivedi, Neha., Katiyar, Devesh. Dan Goel, Gaurav."	 A Comparative Study of Various Software Development Life Cycle (SDLC) Models	2022		
11	"Echouffo-Tcheugui, J.B., Batty, G.D., Kivimäki, M. dan Kengne, A.P."	 Risk models to predict hypertension: a systematic review	2013	"Untuk mensintesis bukti yang ada pada kinerja model ini, kami mencari MEDLINE dan EMBASE; memeriksa bibliografi artikel yang diambil; menghubungi ahli di bidangnya; dan mencari file kita sendiri. Tinjauan ganda dari studi yang diidentifikasi dilakukan. Studi yang disertakan harus melaporkan pengembangan, validasi, atau analisis dampak dari model prediksi risiko hipertensi. Untuk setiap publikasi, informasi diekstraksi tentang desain dan karakteristik studi, prediktor, diskriminasi model, kemampuan kalibrasi dan reklasifikasi, validasi dan analisis dampak. Sebelas studi yang melaporkan 15 model risiko prediksi hipertensi yang berbeda telah diidentifikasi. Variabel usia, jenis kelamin, indeks massa tubuh, status diabetes, dan tekanan darah adalah variabel prediktor yang paling umum dimasukkan dalam model"	"Sebagian besar model risiko memiliki kemampuan diskriminatif yang dapat diterima hingga baik (statistik C.0.70) dalam sampel derivasi. Kalibrasi kurang umum dinilai, tetapi secara keseluruhan dapat diterima. Dua model risiko hipertensi, Framingham dan Hopkins, telah divalidasi secara eksternal, menampilkan diskriminasi yang dapat diterima hingga baik, dan C-statistik mulai dari 0,71 hingga 0,81. Kurangnya data tingkat individu menghalangi analisis model risiko dalam subkelompok"
